127.0.0.1 - - [27/Apr/2023:21:47:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:45 +0900] "GET /DanBeck/RecipeProject/Home.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:46 +0900] "GET /DanBeck/project/loginCheck.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:47 +0900] "GET /DanBeck/RecipeProject/Login.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:47 +0900] "GET /DanBeck/projectResources/img/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 60083
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "POST /DanBeck/project/loginCheck.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "GET /DanBeck/project/recipeList.do HTTP/1.1" 200 12851
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "GET /DanBeck/Storage/13_[%EC%9A%94%EB%A6%AC%EC%9D%BC%EA%B8%B0]%20%EB%B0%80%EA%B0%80%EB%A3%A8%20%EC%97%86%EC%9D%B4%20%EA%B0%90%EC%9E%90%20%EB%87%A8%EB%81%BC%20%EB%A7%8C%EB%93%A4%EA%B8%B0(%EA%B1%B4%EA%B0%95%ED%95%9C%20%EC%8B%9D%EB%8B%A8%20%EA%B4%80%EB%A6%AC,%20%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%20%EC%8B%9D%EB%8B%A8)_mainPhoto.jpg HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "GET /DanBeck/Storage/11_[%EC%B4%88%EA%B0%84%EB%8B%A8%20%EC%97%B0%EC%96%B4%EC%9A%94%EB%A6%AC]%20%EC%97%B0%EC%96%B4%ED%9A%8C%EB%8D%AE%EB%B0%A5_mainPhoto.PNG HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "GET /DanBeck/Storage/4_%EB%B0%80%EA%B0%80%EB%A3%A8%20%EC%97%86%EC%9D%B4%20%EA%B0%90%EC%9E%90%20%EB%87%A8%EB%81%BC%20%EB%A7%8C%EB%93%A4%EA%B8%B0(%EA%B1%B4%EA%B0%95%ED%95%9C%20%EC%8B%9D%EB%8B%A8%20%EA%B4%80%EB%A6%AC,%20%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%20%EC%8B%9D%EB%8B%A8)_mainPhoto.JPG HTTP/1.1" 200 13312
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "GET /DanBeck/Storage/13_%EC%96%91%EB%B0%B0%EC%B6%94%EC%A0%84%20%EB%A7%8C%EB%93%A4%EA%B8%B0%20300%EC%B9%BC%EB%A1%9C%EB%A6%AC%20%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%EC%9D%8C%EC%8B%9D%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EC%B2%AD%EC%96%91%EA%B3%A0%EC%B6%94%EA%B0%84%EC%9E%A5%EC%86%8C%EC%8A%A4%EC%97%90%20%EC%BD%95%EC%BD%95%20%EC%B0%8D%EC%96%B4%EB%A8%B9%EC%96%B4%EC%9A%94_mainPhoto.jpg HTTP/1.1" 200 114688
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "GET /DanBeck/Storage/13_%EC%A7%84%EC%A7%9C%20%EC%89%AC%EC%9A%B4%20%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%20%EC%9D%8C%EC%8B%9D(%EB%91%90%EB%B6%80%EC%9C%A0%EB%B6%80%EC%B4%88%EB%B0%A5,%20%EC%96%91%EB%B0%B0%EC%B6%94%EC%B0%B8%EC%B9%98%EC%A0%84)%20%EB%A7%8C%EB%93%A4%EA%B8%B0%20!_mainPhoto.jpg HTTP/1.1" 200 76800
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:47:50 +0900] "GET /DanBeck/Storage/13_%EB%B0%A9%EC%9A%B8%ED%86%A0%EB%A7%88%ED%86%A0%EB%A1%9C%20%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%20%EC%9D%8C%EC%8B%9D%EB%A7%8C%EB%93%A4%EA%B8%B0!_mainPhoto.jpg HTTP/1.1" 200 100352
